mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_test_f1
0.022008275985717772,0.0078057502933577515,0.00010113716125488281,0.00020227432250976562,6,10,30,"{'max_depth': 6, 'min_samples_leaf': 10, 'min_samples_split': 30}",0.6159110350727117,0.4199706314243759,0.655199374511337,0.658911508101371,0.7560156687185227,0.6212016435656637,0.11070195278883231,11,0.6212
0.02508072853088379,0.012535115699524955,0.0,0.0,6,10,40,"{'max_depth': 6, 'min_samples_leaf': 10, 'min_samples_split': 40}",0.6159110350727117,0.40150375939849625,0.655199374511337,0.658911508101371,0.7560156687185227,0.6175082691604878,0.11745607412470693,12,0.6175
0.020385074615478515,0.016868371338388116,0.0006000995635986328,0.0012001991271972656,6,15,5,"{'max_depth': 6, 'min_samples_leaf': 15, 'min_samples_split': 5}",0.6259541984732825,0.3871951219512195,0.6547155105222136,0.6586378737541528,0.7560156687185227,0.6165036746838781,0.12277683524606153,21,0.6165
0.013191652297973634,0.010885536549007513,0.009599924087524414,0.007847809988544327,6,15,10,"{'max_depth': 6, 'min_samples_leaf': 15, 'min_samples_split': 10}",0.6259541984732825,0.3871951219512195,0.6547155105222136,0.6586378737541528,0.7560156687185227,0.6165036746838781,0.12277683524606153,21,0.6165
0.018925952911376952,0.01063887576836189,0.003127908706665039,0.006255817413330078,6,15,20,"{'max_depth': 6, 'min_samples_leaf': 15, 'min_samples_split': 20}",0.6259541984732825,0.3871951219512195,0.6547155105222136,0.6586378737541528,0.7560156687185227,0.6165036746838781,0.12277683524606153,21,0.6165
0.015702056884765624,0.010006552872683474,0.006255483627319336,0.0076613715206823195,6,15,30,"{'max_depth': 6, 'min_samples_leaf': 15, 'min_samples_split': 30}",0.6259541984732825,0.3871951219512195,0.6547155105222136,0.6586378737541528,0.7560156687185227,0.6165036746838781,0.12277683524606153,21,0.6165
0.023224687576293944,0.01369020676091696,0.0003739833831787109,0.0007479667663574218,6,15,40,"{'max_depth': 6, 'min_samples_leaf': 15, 'min_samples_split': 40}",0.6259541984732825,0.37712519319938176,0.6547155105222136,0.6586378737541528,0.7560156687185227,0.6144896889335106,0.1265465295562515,31,0.6145
0.013615894317626952,0.011959596537212616,0.004514455795288086,0.004976929974933427,6,20,5,"{'max_depth': 6, 'min_samples_leaf': 20, 'min_samples_split': 5}",0.6193656093489148,0.40028388928317954,0.653250773993808,0.6578073089700996,0.7540707467714767,0.6169556656734957,0.11725118645470155,16,0.617
0.025084733963012695,0.0077071079219140845,0.0,0.0,6,20,10,"{'max_depth': 6, 'min_samples_leaf': 20, 'min_samples_split': 10}",0.6193656093489148,0.40028388928317954,0.653250773993808,0.6578073089700996,0.7540707467714767,0.6169556656734957,0.11725118645470155,16,0.617
0.022298383712768554,0.006592073677918672,0.0,0.0,6,20,20,"{'max_depth': 6, 'min_samples_leaf': 20, 'min_samples_split': 20}",0.6193656093489148,0.40028388928317954,0.653250773993808,0.6578073089700996,0.7540707467714767,0.6169556656734957,0.11725118645470155,16,0.617
0.02490973472595215,0.012590038051290773,0.0,0.0,6,20,30,"{'max_depth': 6, 'min_samples_leaf': 20, 'min_samples_split': 30}",0.6193656093489148,0.40028388928317954,0.653250773993808,0.6578073089700996,0.7540707467714767,0.6169556656734957,0.11725118645470155,16,0.617
0.015515661239624024,0.009931893701752955,0.006463956832885742,0.007923909815727005,6,20,40,"{'max_depth': 6, 'min_samples_leaf': 20, 'min_samples_split': 40}",0.6193656093489148,0.40028388928317954,0.653250773993808,0.6578073089700996,0.7540707467714767,0.6169556656734957,0.11725118645470155,16,0.617
0.02127537727355957,0.01564530260587109,0.0005745887756347656,0.0011491775512695312,6,30,5,"{'max_depth': 6, 'min_samples_leaf': 30, 'min_samples_split': 5}",0.6103678929765887,0.4550408719346049,0.6343096234309623,0.658687577383409,0.7562412342215988,0.6229294399894327,0.09749312918693828,1,0.6229
0.02509899139404297,0.012479851837450201,0.0,0.0,6,30,10,"{'max_depth': 6, 'min_samples_leaf': 30, 'min_samples_split': 10}",0.6103678929765887,0.4550408719346049,0.6343096234309623,0.658687577383409,0.7562412342215988,0.6229294399894327,0.09749312918693828,1,0.6229
0.018822860717773438,0.015369353794727378,0.003125286102294922,0.006250572204589844,6,30,20,"{'max_depth': 6, 'min_samples_leaf': 30, 'min_samples_split': 20}",0.6103678929765887,0.4550408719346049,0.6343096234309623,0.658687577383409,0.7562412342215988,0.6229294399894327,0.09749312918693828,1,0.6229
0.01750211715698242,0.009682502324800158,0.0045033454895019535,0.005771850768630908,6,30,30,"{'max_depth': 6, 'min_samples_leaf': 30, 'min_samples_split': 30}",0.6103678929765887,0.4550408719346049,0.6343096234309623,0.658687577383409,0.7562412342215988,0.6229294399894327,0.09749312918693828,1,0.6229
0.01778860092163086,0.011002740925117882,0.004942655563354492,0.005930767109196227,6,30,40,"{'max_depth': 6, 'min_samples_leaf': 30, 'min_samples_split': 40}",0.6103678929765887,0.4550408719346049,0.6343096234309623,0.658687577383409,0.7562412342215988,0.6229294399894327,0.09749312918693828,1,0.6229
0.02744717597961426,0.01925846735165448,0.00046105384826660155,0.0009221076965332031,8,5,5,"{'max_depth': 8, 'min_samples_leaf': 5, 'min_samples_split': 5}",0.4981467753891772,0.48104265402843605,0.5472197705207414,0.6417242781618544,0.6045036473200127,0.5545274250840444,0.06120964797804207,160,0.5545
0.025099849700927733,0.016065076414695297,0.0,0.0,8,5,10,"{'max_depth': 8, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.4981467753891772,0.48104265402843605,0.5472197705207414,0.6417242781618544,0.6045036473200127,0.5545274250840444,0.06120964797804207,160,0.5545
0.028206300735473634,0.011836870452718935,0.0031273365020751953,0.006254673004150391,8,5,20,"{'max_depth': 8, 'min_samples_leaf': 5, 'min_samples_split': 20}",0.5252976190476191,0.4217335058214748,0.543046357615894,0.6439301664636622,0.7441201473505242,0.5756255592598348,0.1098480911425922,125,0.5756
0.02510867118835449,0.015926360781749565,0.0,0.0,8,5,30,"{'max_depth': 8, 'min_samples_leaf': 5, 'min_samples_split': 30}",0.5424492862509391,0.42393380012730747,0.5536723163841808,0.6431181485992692,0.7449095022624435,0.581616610724828,0.1073553345094783,107,0.5816
0.026127719879150392,0.018354353036096976,0.0022328376770019533,0.004465675354003906,8,5,40,"{'max_depth': 8, 'min_samples_leaf': 5, 'min_samples_split': 40}",0.5884413309982487,0.4070671378091873,0.5547050877982891,0.6436688311688312,0.7483798253029023,0.5884524426154918,0.11195099836841205,92,0.5885
0.025252819061279297,0.015842510231862856,0.0031238555908203124,0.006247711181640625,8,10,5,"{'max_depth': 8, 'min_samples_leaf': 10, 'min_samples_split': 5}",0.5389755011135857,0.4083840432724814,0.5892547660311959,0.6363266964648517,0.7426160337552743,0.5831114081274779,0.11026238132104393,99,0.5831
0.028252840042114258,0.011724609415037097,0.0,0.0,8,10,10,"{'max_depth': 8, 'min_samples_leaf': 10, 'min_samples_split': 10}",0.5389755011135857,0.4083840432724814,0.5892547660311959,0.6363266964648517,0.7426160337552743,0.5831114081274779,0.11026238132104393,99,0.5831
0.02286815643310547,0.015472365735686845,0.0035269737243652345,0.006103365490974244,8,10,20,"{'max_depth': 8, 'min_samples_leaf': 10, 'min_samples_split': 20}",0.5389755011135857,0.4083840432724814,0.5892547660311959,0.6363266964648517,0.7426160337552743,0.5831114081274779,0.11026238132104393,99,0.5831
0.028309106826782227,0.011392669474507146,0.0031255245208740234,0.006251049041748047,8,10,30,"{'max_depth': 8, 'min_samples_leaf': 10, 'min_samples_split': 30}",0.5422960725075529,0.4367816091954023,0.6045723962743438,0.6338486574450773,0.7411797911374541,0.5917357053119661,0.1007242427180087,87,0.5917
0.028217649459838866,0.018318759372043608,0.0,0.0,8,10,40,"{'max_depth': 8, 'min_samples_leaf': 10, 'min_samples_split': 40}",0.5868263473053892,0.41345480028030834,0.6035761011774967,0.6340668296658517,0.744225352112676,0.5964298861083444,0.10666134976918316,86,0.5964
0.027635622024536132,0.011029392558078487,0.0005252838134765625,0.001050567626953125,8,15,5,"{'max_depth': 8, 'min_samples_leaf': 15, 'min_samples_split': 5}",0.5889164598842018,0.41350210970464135,0.656624179219776,0.6594896331738437,0.7536394176931691,0.6144343599351264,0.11332514196682227,33,0.6144
0.027911281585693358,0.01831756283325459,0.0002033710479736328,0.0004067420959472656,8,15,10,"{'max_depth': 8, 'min_samples_leaf': 15, 'min_samples_split': 10}",0.5889164598842018,0.41350210970464135,0.656624179219776,0.6594896331738437,0.7536394176931691,0.6144343599351264,0.11332514196682227,33,0.6144
0.022066926956176756,0.016056316495312983,0.006239557266235351,0.007641891879688858,8,15,20,"{'max_depth': 8, 'min_samples_leaf': 15, 'min_samples_split': 20}",0.5889164598842018,0.41350210970464135,0.656624179219776,0.6594896331738437,0.7536394176931691,0.6144343599351264,0.11332514196682227,33,0.6144
0.02516164779663086,0.007581512542447252,0.0031294822692871094,0.006258964538574219,8,15,30,"{'max_depth': 8, 'min_samples_leaf': 15, 'min_samples_split': 30}",0.5889164598842018,0.41350210970464135,0.656624179219776,0.6594896331738437,0.7536394176931691,0.6144343599351264,0.11332514196682227,33,0.6144
